English Terms,Spanish Terms,Dictionaries Used,Synonyms Used,Failed Words
"0.3, carboxymethyl, cellulose","0.3, carboxymethyl, celulosa","None, None, Github",,"0.3, carboxymethyl"
"Na, salt","Na, salar","None, Github",,Na
"Na, acetate, buffer","Na, acetato, tampón","None, Github, Mexican Laws",,Na
plate,chapar,Github,,
acetate,acetato,Github,,
"CMC, soft, agar","CMC, blando, agar","None, Github, Mexican Laws",,CMC
viscosity,viscosidad,Github,,
"mm, Na, acetate, buffer","mm, Na, acetato, tampón","None, None, Github, Mexican Laws",,"mm, Na"
"carboxymethyl, cellulose","carboxymethyl, celulosa","None, Github",,carboxymethyl
arabinose,arabinosa,Github,,
pickettiimf254a,pickettiimf254a,None,,pickettiimf254a
"R., pickettii","R., pickettii","None, None",,"R., pickettii"
"15, min, 8000, rpm, centrifugation","15, minutar, 8000, centrifugación","None, Github, None, Mexican Laws",min->minute,"15, 8000"
"cell, washe","célula, washe","Github, None",,washe
"exponential, phase",phase,None,,phase
cell,célula,Github,,
duplicate,duplicar,Github,,
concentration,concentración,Github,,
strain,deformación bajo carga,Github,,
centrifugation,centrifugación,Mexican Laws,,
"sparke, eukaryote, prokaryote","sparke, eucarionte , procariota ","None, Github, Github",,sparke
victoria,,,,
"jellyfish, specific, cofactor","medusa , específico, cofactor ","Github, Github, Github",,
"green, fluorescent",verde,Github,,
"jellyfish, aequorea, victoria","medusa , aequorea","Github, None",,aequorea
"PCR, buffer","PCR, tampón","None, Mexican Laws",,PCR
polymerase,polimerasa ,Github,,
"min, 94C, initial, denaturation","minutar, 94C, inicial, denaturation","Github, None, Github, None",min->minute,"94C, denaturation"
"end, primer, 0.2, m","acabar, abecé , 0.2, m","Github, Github, None, None",,"0.2, m"
pcr,pcr,None,,pcr
"200, m, dntps","200, m, dntps","None, None, None",,"200, m, dntps"
"initial, denaturation","inicial, denaturation","Github, None",,denaturation
DNA,DNA,None,,DNA
"100, ng","100, ng","None, None",,"100, ng"
"DNA, template, 100, ng","DNA, plantilla , 100, ng","None, Github, None, None",,"DNA, 100, ng"
primer,abecé ,Github,,
"94C, initial, denaturation","94C, inicial, denaturation","None, Github, None",,"94C, denaturation"
"0.2, m","0.2, m","None, None",,"0.2, m"
"taq, polymerase","taq, polimerasa ","None, Github",,taq
"benign, tissue, outgrowth, intestinal, polyp","benigno, tejido , ramo , intestinal, pólipo ","Github, Github, Github, Github, Github",outgrowth->branch,
people,poblar con,Github,,
gene,gen,Github,,
figure,ocurrírsele,Github,,
"peutzjeghers, syndrome","peutzjeghers, síndrome ","None, Github",,peutzjeghers
disease,enfermedad ,Github,,
tissue,tejido ,Github,,
"genetic, disease, people, peutzjeghers, syndrome","genético, enfermedad , poblar con, peutzjeghers, síndrome ","Github, Github, Github, None, Github",,peutzjeghers
polyp,pólipo ,Github,,
"intestinal, cancer","intestinal, cáncer ","Github, Github",,
"benign, tissue","benigno, tejido ","Github, Github",,
"magainin, oligomer, formation","magainin, oligómero, constitución ","None, Github, Github",formation->constitution,magainin
helix,hélice ,Github,,
oligomer,oligómero,Github,,
"bind, isotherm","aglutinar, isoterma","Github, Mexican Laws",,
molecule,molécula,Github,,
one,uno,Github,,
"lipid, large, molecule","lipido, grande, molécula","Github, Github, Github",,
"bind, ligand, molecule","aglutinar, ligando, molécula","Github, Mexican Laws, Github",,
"spring, sample, day","saltar, samplear, día","Github, Github, Github",,
"334, ly, fall","334, ly, caer","None, None, Github",,"334, ly"
day,día,Github,,
spring,saltar,Github,,
"274, ly, summer","274, ly, veranear","None, None, Github",,"274, ly"
radiation,radiación,Mexican Laws,,
fall,caer,Github,,
season,adobar,Github,,
"radiation, value","radiación, valor","Mexican Laws, Github",,
"summer, radiation, value","veranear, radiación, valor","Github, Mexican Laws, Github",,
"394, ly, winter","394, ly, invernar","None, None, Github",,"394, ly"
value,valor,Github,,
"air, temperature, annual, change","aire, temperatura, anuario , reemplazar","Github, Github, Github, Github",,
amplitude,amplitud ,Github,,
"annual, value","anuario , valor","Github, Github",,
"total, solar, radiation","total , solar, radiación","Github, Github, Mexican Laws",,
"low, value","low, valor","None, Github",,low
transplant,trasplantar,Github,,
marrow,médula ,Github,,
"infection, post, transplant","infección , poste , trasplantar","Github, Github, Github",,
"legionella, pneumophila",pneumophila,None,,pneumophila
outbreak,erupción ,Github,outbreak->eruption,
treatment,trato ,Github,,
"nosocomial, outbreak",erupción ,Github,outbreak->eruption,
thermost,thermost,None,,thermost
sequence,secuencia ,Github,,
strategy,estrategia,Github,,
non-cellulosomal,non-cellulosomal,None,,non-cellulosomal
protein,proteína,Github,,
amino,amino ,Github,,
cellulovoran,cellulovoran,None,,cellulovoran
"different, thermost","diferente, thermost","Github, None",,thermost
comparison,comparación ,Github,,
engb,engb,None,,engb
DNA,DNA,None,,DNA
trichosporium,trichosporium,None,,trichosporium
"DNA, extraction","DNA, extraction","None, None",,"DNA, extraction"
culture,cultura ,Github,,
"NMS, plate","NMS, chapar","None, Github",,NMS
weight,peso,Github,,
"dry, weight","secar, peso","Github, Github",,
"lake, washington, sediment","laca (de pintor), washington , sedimento ","Github, Github, Github",,
"dry, weight, sediment","secar, peso, sedimento ","Github, Github, Github",,
volume,volumen ,Github,,
"centrifuge, tube","centrífuga, metro ","Github, Github",,
"1.5, ml, centrifuge, tube","1.5, ml, centrífuga, metro ","None, None, Github, Github",,"1.5, ml"
centrifuge,centrífuga,Github,,
"total, methane, oxidation, rate","total , metano, oxidación, rate","Github, Github, Github, None",,rate
tube,metro ,Github,,
"g, dry, weight, sediment","g, secar, peso, sedimento ","None, Github, Github, Github",,g
sediment,sedimento ,Github,,
"methane, oxidation, rate","metano, oxidación, rate","Github, Github, None",,rate
"foreseeable, future",futuro ,Github,,
R2A,R2A,None,,R2A
"R2A, duplicate","R2A, duplicar","None, Github",,R2A
filter,filtrar,Github,,
"bacterial, strain","bacteriano, deformación bajo carga","Github, Github",,
wash,lavar,Github,,
"desire, concentration","desear, concentración","Github, Github",,
cell,célula,Github,,
"reference, human, genome","reference, humano , genoma ","None, Github, Github",,reference
genome,genoma ,Github,,
"eukariotic, genome, reference, human, genome","eukariotic, genoma , reference, humano , genoma ","None, Github, None, Github, Github",,"eukariotic, reference"
"eukariotic, genome","eukariotic, genoma ","None, Github",,eukariotic
reference,reference,None,,reference
effort,effort,None,,effort
"human, genome","humano , genoma ","Github, Github",,
gene,gen,Github,,
"pharmaceutical, industry",industria ,Github,,
"practical, purpose, gene","práctico , proponerse, gen","Github, Github, Github",,
"functional, tissue, assembly","functional, tejido , fabricación","None, Github, Github",assembly->fabrication,functional
"tissue, assembly","tejido , fabricación","Github, Github",assembly->fabrication,
"gene, product","gen, producto ","Github, Github",,
assembly,fabricación,Github,assembly->fabrication,
"vascular, cell, differentiation","vascular, célula, diferenciación ","Github, Github, Github",,
vessel,embarcación ,Github,,
"creative, application","creativo , solicitud ","Github, Github",,
"intestinal, polyp","intestinal, pólipo ","Github, Github",,
effect,efecto,Github,,
"Co, Zn, Cu","Co, Zn, Cu","None, None, None",,"Co, Zn, Cu"
"sulfide, ore","sulfuro , mena","Github, Github",,
cyanidation,cyanidation,None,,cyanidation
ore,mena,Github,,
"base, metal","base, metal","Github, Github",,
"baculovirus, autographa, californica","baculovirus, autographa, californica","None, None, None",,"baculovirus, autographa, californica"
mutagenesis,,,,
californica,californica,None,,californica
gp64,gp64,None,,gp64
"envelope, insertional, mutagenesis","sobre , insertional","Github, None",,insertional
surface,superficie ,Github,,
"envelope, protein, gp64","sobre , proteína, gp64","Github, Github, None",,gp64
"insect, cell","insecto , célula","Github, Github",,
"host, cell, receptor","alojar, célula","Github, Github",,
"protein, gp64","proteína, gp64","Github, None",,gp64
"nuclear, polyhedrosis, virus","nuclear , polyhedrosis, virus","Github, None, Github",,polyhedrosis
receptor,,,,
"heterologous, host",alojar,Github,,
"GFP, green, fluorescent, protein","GFP, verde, proteína","None, Github, Github",,GFP
"eukaryote, prokaryote","eucarionte , procariota ","Github, Github",,
eukaryote,eucarionte ,Github,,
"aequorea, victoria",aequorea,None,,aequorea
cofactor,cofactor ,Github,,
protein,proteína,Github,,
week,semana ,Github,,
"stem, cell","descender, célula","Github, Github",,
"pneumonia, nosocomial, outbreak","pulmonía , erupción ","Github, Github",outbreak->eruption,
"week, period","semana , período ","Github, Github",,
"HSCT, hematopoietic, stem, cell, transplantation","HSCT, hematopoietic, descender, célula, trasplantar","None, None, Github, Github, Github",transplantation->transplant,"HSCT, hematopoietic"
period,período ,Github,,
"heat, production","calor, producción ","Github, Github",,
"whey, cheese","suero de la leche, queso ","Github, Github",,
yeast,levadura,Github,,
fragilis,fragilis,None,,fragilis
heat,calor,Github,,
"fermentation, system","fermentación, sistema ","Github, Github",,
whey,suero de la leche,Github,,
"aerobic, fermenter","aerobio, fermenter","Github, None",,fermenter
fermentation,fermentación,Github,,
"operating, condition","influir; controlar, condición ","Github, Github",operating->operate,
"25-L, aerobic, fermenter","25-L, aerobio, fermenter","None, Github, None",,"25-L, fermenter"
cheese,queso ,Github,,
"yeast, K., fragilis","levadura, K., fragilis","Github, None, None",,"K., fragilis"
operating,influir; controlar,Github,operating->operate,
"SCP, production","SCP, producción ","None, Github",,SCP
"notes, reference","anotar, reference","Github, None",notes->note,reference
"single, cell, pr, batch, production","sencillo , célula, pr, lote , producción ","Github, Github, Chemical Element, Github, Github",,
"indirect, method","indirecto, method","Github, Github",,
method,method,Github,,
"large, molecule","grande, molécula","Github, Github",,
conformation,configuraciones moleculares,Mexican Laws,,
"free, one","librar, uno","Github, Github",,
ligand,ligando,Mexican Laws,,
science,ciencia ,Github,,
limit,limitar,Github,,
"come, decade","correrse, década ","Github, Github",,
increase,aumentar,Github,,
"lead, scientist","plomo, científico ","Github, Github",,
decade,década ,Github,,
imagination,imaginación ,Github,,
"science, come, decade, deliver, increase","ciencia , correrse, década , liberar , aumentar","Github, Github, Github, Github, Github",,
debate,debatir,Github,,
future,futuro ,Github,,
scientist,científico ,Github,,
"considerable, debate","considerable, debatir","Github, Github",,
"genetic, manipulation","genético, manipulación ","Github, Github",,
"batch, cultivation, medium","lote , cultivación , médium","Github, Github, Github",,
"0.5, mgso47h2o, 3.0, KH2PO4","0.5, mgso47h2o, 3.0, KH2PO4","None, None, None, None",,"0.5, mgso47h2o, 3.0, KH2PO4"
strain,deformación bajo carga,Github,,
medium,médium,Github,,
"t, ml","t, ml","None, None",,"t, ml"
"g, l","g, l","None, None",,"g, l"
cultivation,cultivación ,Github,,
cerevisiae,cerevisiae,None,,cerevisiae
"batch, cultivation","lote , cultivación ","Github, Github",,
"S., cerevisiae","S., cerevisiae","None, None",,"S., cerevisiae"
batch,lote ,Github,,
"medium, composition","médium, composición ","Github, Github",,
KH2PO4,KH2PO4,None,,KH2PO4
"minimal, medium","mínimo, médium","Github, Github",,
"S., cerevisiae, strain","S., cerevisiae, deformación bajo carga","None, None, Github",,"S., cerevisiae"
"3.0, KH2PO4","3.0, KH2PO4","None, None",,"3.0, KH2PO4"
composition,composición ,Github,,
"E., coli","E., coli","None, None",,"E., coli"
strain,deformación bajo carga,Github,,
"galk, rpsl, strr, enda1, nupg","galk, rpsl, strr, enda1, nupg","None, None, None, None, None",,"galk, rpsl, strr, enda1, nupg"
"strr, enda1, nupg","strr, enda1, nupg","None, None, None",,"strr, enda1, nupg"
"ara, galu","ara, galu","Github, None",,galu
dcm,dcm,None,,dcm
"rb, mb, f, ompt, hsdsb","rb, mb, f, ompt, hsdsb","Chemical Element, None, Chemical Element, None, None",,"mb, ompt, hsdsb"
"medium, E., coli","médium, E., coli","Github, None, None",,"E., coli"
"amino, acid","amino , ácido","Github, Github",,
"clostridium, cellulovoran",cellulovoran,None,,cellulovoran
"vitro, model, system","vitro, modelo, sistema ","None, Github, Github",,vitro
use,use,None,,use
model,modelo,Github,,
